City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Pisco,PE,2022-03-12 01:07:21,-13.7,-76.2167,71.65,78,0,12.66
256,Sidi Ali,DZ,2022-03-12 01:07:21,36.0998,0.4206,54.57,80,100,8.95
257,Souillac,MU,2022-03-12 01:07:21,-20.5167,57.5167,77.38,94,40,9.22
258,Pita,GN,2022-03-12 01:07:22,10.8333,-12.5833,76.44,41,16,1.86
259,Hovd,MN,2022-03-12 01:07:22,48.0056,91.6419,16.61,78,97,1.95
260,Komsomolskiy,UZ,2022-03-12 01:07:23,40.4272,71.7189,50.72,87,100,2.3
261,Fortuna,US,2022-03-12 01:07:23,40.5982,-124.1573,60.85,76,0,12.66
262,Kahului,US,2022-03-12 01:04:36,20.8947,-156.47,86.02,58,0,21.85
263,Carutapera,BR,2022-03-12 01:07:24,-1.195,-46.02,74.05,95,100,4.38
264,Bethel,US,2022-03-12 01:07:24,41.3712,-73.414,43.16,74,66,4.23
265,Passo Fundo,BR,2022-03-12 01:07:25,-28.2628,-52.4067,59.67,98,100,11.34
266,Kavieng,PG,2022-03-12 01:07:25,-2.5744,150.7967,85.1,64,98,6.78
267,Bassano,CA,2022-03-12 01:07:26,50.7834,-112.4685,21.63,91,100,4.47
268,Sitka,US,2022-03-12 01:07:26,57.0531,-135.33,42.69,81,100,8.05
269,Bandarbeyla,SO,2022-03-12 01:08:26,9.4942,50.8122,75.6,73,62,10.25
270,Sorong,ID,2022-03-12 01:08:27,-0.8833,131.25,83.17,76,100,6.6
271,Kesan,TR,2022-03-12 01:08:27,40.8558,26.6303,26.78,59,100,6.17
272,Savannakhet,LA,2022-03-12 01:08:28,16.566,104.751,75.83,65,15,6.49
273,Palmer,US,2022-03-12 01:04:57,42.1584,-72.3287,42.4,67,100,4.38
274,Yulara,AU,2022-03-12 01:08:28,-25.2406,130.9889,84.04,16,0,14.97
275,Sistranda,NO,2022-03-12 01:08:29,63.7256,8.834,40.96,64,0,11.03
276,Toora-Khem,RU,2022-03-12 01:08:29,52.4675,96.11,-2.85,100,100,0.81
277,Balykshi,KZ,2022-03-12 01:08:30,47.0667,51.8667,30.2,93,100,11.18
278,Westport,US,2022-03-12 01:05:28,41.1415,-73.3579,44.64,80,75,4.61
279,Agadez,NE,2022-03-12 01:05:09,19.75,10.25,62.51,18,0,10.63
280,Tumut,AU,2022-03-12 01:06:48,-35.3,148.2167,76.15,42,100,5.64
281,Upington,ZA,2022-03-12 01:08:31,-28.4478,21.2561,72.72,72,100,8.72
282,College,US,2022-03-12 01:08:31,64.8569,-147.8028,25.07,32,20,9.22
283,Karpathos,GR,2022-03-12 01:08:32,35.507,27.2132,42.76,61,64,6.91
284,Ekhabi,RU,2022-03-12 01:08:32,53.5102,142.9671,19.04,87,98,7.83
285,Youghal,IE,2022-03-12 01:08:33,51.95,-7.8506,42.55,100,98,9.31
286,Rawson,AR,2022-03-12 01:08:33,-43.3002,-65.1023,66.04,49,1,18.57
287,Winchester,GB,2022-03-12 01:08:34,51.0651,-1.3187,48.65,92,100,5.01
288,Muros,ES,2022-03-12 01:08:34,42.7762,-9.0603,42.1,94,96,10.04
289,Rosario De Mora,SV,2022-03-12 01:08:35,13.5753,-89.2089,74.75,98,1,5.08
290,Sribne,UA,2022-03-12 01:08:35,50.6638,32.9187,15.69,94,19,3.11
291,Tlacote El Bajo,MX,2022-03-12 01:08:36,20.65,-100.5,72.57,11,0,8.08
292,Omsukchan,RU,2022-03-12 01:08:36,62.5333,155.8,11.16,93,76,5.23
293,Balotra,IN,2022-03-12 01:07:13,25.8333,72.2333,72.95,22,0,4.63
